dates,pos,neg,neu,value
2015-04-03,0.06805882352941177,-0.026205882352941176,0.9056764705882353,0.04185294117647059
2015-04-05,0.06638235294117648,-0.026205882352941176,0.9073529411764706,0.0401764705882353
2015-04-09,0.088,-0.018676470588235294,0.8932941176470588,0.0693235294117647
2015-04-13,0.05336363636363637,-0.03203030303030303,0.9146363636363636,0.021333333333333343
2015-04-14,0.05336363636363637,-0.03203030303030303,0.9146363636363636,0.021333333333333343
2015-04-18,0.07481818181818183,-0.016575757575757574,0.9086060606060606,0.05824242424242425
2015-04-22,0.06881818181818182,-0.014575757575757575,0.9166060606060606,0.054242424242424245
2015-04-26,0.06933333333333334,-0.016393939393939395,0.9142424242424243,0.05293939393939395
2015-04-30,0.07781818181818181,-0.021272727272727273,0.9009090909090909,0.05654545454545454
2015-05-04,0.08027272727272727,-0.02372727272727273,0.896,0.056545454545454545
