BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT
8465.94000000,684.11000000,12.93190000,0.68522000,0.26550000
8679.71000000,729.08000000,13.15150000,0.72999000,0.27718000
8663.34000000,727.49000000,12.83880000,0.72694000,0.26655000
8462.00000000,704.91000000,12.53890000,0.68900000,0.25394000
8330.00000000,706.29000000,12.29010000,0.70585000,0.25237000
8041.46000000,667.62000000,12.37770000,0.65849000,0.23919000
8239.81000000,692.60000000,15.13630000,0.67766000,0.24324000
8233.49000000,697.00000000,14.33000000,0.67339000,0.24116000
8526.98000000,716.16000000,14.16660000,0.69940000,0.25556000
8381.24000000,696.70000000,14.69960000,0.67612000,0.24563000
7977.11000000,640.99000000,13.88800000,0.63782000,0.22000000
7501.95000000,577.19000000,12.49980000,0.59198000,0.19780000
7575.01000000,602.18000000,13.02880000,0.62814000,0.20730000
7457.00000000,585.55000000,13.01290000,0.60459000,0.19788000
7333.96000000,586.00000000,12.78880000,0.60852000,0.19504000
7338.99000000,570.40000000,12.60460000,0.60416000,0.19186000
7099.00000000,511.50000000,11.91790000,0.54689000,0.17249000
7461.29000000,567.36000000,12.60730000,0.59998000,0.20164000
7375.96000000,557.19000000,12.61990000,0.60149000,0.20779000
7485.01000000,577.81000000,14.20000000,0.61140000,0.22330000
7521.01000000,579.00000000,14.28880000,0.62151000,0.22038000
7640.03000000,590.85000000,14.67320000,0.64269000,0.22648000
7714.26000000,619.66000000,14.69950000,0.69010000,0.22659000
7487.00000000,591.02000000,14.26360000,0.65507000,0.21243000
7625.00000000,609.05000000,15.61560000,0.67464000,0.21839000
7658.84000000,607.40000000,17.27500000,0.67410000,0.21452000
7691.08000000,605.16000000,16.27910000,0.67756000,0.21019000
7603.44000000,598.68000000,16.22920000,0.67210000,0.20430000
7491.73000000,592.87000000,16.01880000,0.65740000,0.20110000
6764.99000000,524.11000000,14.18000000,0.58201000,0.17346000
6872.00000000,531.69000000,15.47000000,0.59989000,0.17897000
6530.00000000,493.00000000,15.22630000,0.55560000,0.16297000
6292.78000000,475.47000000,14.58880000,0.52862000,0.15791000
6635.98000000,519.29000000,14.86700000,0.55769000,0.17062000
6388.90000000,487.48000000,14.98950000,0.53258000,0.16097000
6483.98000000,496.74000000,15.76020000,0.53275000,0.16191000
6449.61000000,497.14000000,16.59870000,0.52617000,0.16044000
6712.46000000,517.95000000,16.81110000,0.53870000,0.16370000
6741.21000000,537.97000000,16.75560000,0.54834000,0.16700000
6761.51000000,536.49000000,16.07730000,0.53916000,0.16182000
6718.84000000,526.18000000,17.07270000,0.53457000,0.15779000
6045.00000000,462.09000000,15.56000000,0.48216000,0.13843000
6149.98000000,473.41000000,15.63980000,0.49005000,0.13710000
6136.97000000,454.41000000,14.41740000,0.47331000,0.13093000
6252.00000000,458.70000000,14.92000000,0.48125000,0.13521000
6070.78000000,429.34000000,14.05250000,0.45300000,0.12519000
6133.73000000,441.64000000,14.07370000,0.47010000,0.12752000
5853.98000000,420.22000000,14.20600000,0.44575000,0.11825000
6197.92000000,434.77000000,14.53990000,0.45321000,0.12534000
6390.07000000,454.09000000,14.68510000,0.46796000,0.13784000
6356.81000000,452.10000000,14.37000000,0.46222000,0.14211000
6615.29000000,476.25000000,14.59680000,0.48990000,0.15448000
6513.86000000,461.82000000,14.16390000,0.48440000,0.14966000
6586.98000000,467.38000000,14.02120000,0.49097000,0.15112000
6529.20000000,467.87000000,13.76000000,0.47690000,0.14736000
6609.78000000,470.47000000,13.43660000,0.47698000,0.14501000
6756.98000000,485.57000000,14.16000000,0.48494000,0.14783000
6712.10000000,486.77000000,14.01000000,0.47915000,0.14481000
6662.12000000,471.71000000,13.53480000,0.47300000,0.13935000
6296.91000000,432.48000000,12.77000000,0.44337000,0.12814000
6378.07000000,444.99000000,12.69700000,0.44872000,0.13144000
6250.57000000,431.14000000,12.13180000,0.43675000,0.12750000
6214.57000000,432.46000000,12.18030000,0.43754000,0.13768000
6251.99000000,433.19000000,12.05950000,0.43864000,0.13650000
6353.01000000,449.78000000,12.32100000,0.44681000,0.14227000
6723.35000000,478.49000000,13.34710000,0.48173000,0.15655000
7317.44000000,498.76000000,13.73980000,0.50728000,0.17136000
7381.90000000,479.41000000,12.85740000,0.48868000,0.18053000
7466.21000000,468.57000000,12.95500000,0.47687000,0.18191000
7337.53000000,449.04000000,12.07980000,0.44439000,0.16129000
7398.78000000,460.23000000,12.19590000,0.45506000,0.16327000
7394.79000000,457.47000000,12.18850000,0.44859000,0.16916000
7721.01000000,450.05000000,12.03480000,0.44499000,0.16423000
8397.24000000,479.28000000,12.14690000,0.45885000,0.17349000
8175.64000000,472.10000000,13.00480000,0.45980000,0.17275000
7920.00000000,462.64000000,13.32830000,0.44968000,0.16400000
8188.57000000,470.09000000,13.99190000,0.45550000,0.16590000
8225.04000000,469.29000000,14.66900000,0.45641000,0.16410000
8211.00000000,466.40000000,13.95690000,0.45315000,0.16268000
8173.92000000,456.23000000,13.16660000,0.44534000,0.15327000
7730.93000000,432.22000000,13.83690000,0.43530000,0.14175000
7604.58000000,420.41000000,13.66660000,0.44642000,0.13984000
7525.71000000,410.62000000,14.15000000,0.42975000,0.13039000
7418.78000000,417.52000000,14.12510000,0.44033000,0.12947000
7009.84000000,407.21000000,13.86630000,0.42985000,0.12639000
7024.19000000,408.79000000,13.64000000,0.43450000,0.13024000
6934.82000000,405.28000000,13.69980000,0.41290000,0.12937000
6720.06000000,378.21000000,13.14880000,0.37863000,0.12365000
6285.00000000,355.48000000,12.14890000,0.33171000,0.11292000
6529.79000000,363.30000000,12.76540000,0.34410000,0.12213000
6144.01000000,331.81000000,12.14720000,0.31897000,0.11485000
6232.35000000,317.69000000,11.69720000,0.29784000,0.11022000
6308.33000000,317.89000000,11.79990000,0.29547000,0.11153000
6246.35000000,283.81000000,10.25760000,0.27430000,0.10104000
6188.08000000,278.41000000,9.39990000,0.27250000,0.09350000
6267.16000000,281.12000000,9.50490000,0.28039000,0.09361000
6311.75000000,287.17000000,9.78880000,0.29142000,0.09460000
6584.49000000,317.51000000,10.88000000,0.36720000,0.11000000
6387.96000000,294.11000000,9.88070000,0.32829000,0.09831000
6477.53000000,299.42000000,10.13880000,0.34201000,0.10143000
6254.84000000,270.51000000,9.63770000,0.31499000,0.09174000
6480.00000000,281.21000000,9.73990000,0.33339000,0.09469000
6360.89000000,270.80000000,9.58880000,0.31850000,0.08955000
6525.01000000,275.99000000,9.75870000,0.32630000,0.09232000
6681.64000000,281.19000000,10.20380000,0.32646000,0.09381000
6733.64000000,277.55000000,10.10580000,0.32702000,0.09413000
6700.00000000,274.29000000,10.21580000,0.32276000,0.09306000
6908.64000000,287.71000000,11.18880000,0.33901000,0.10051000
7076.11000000,295.44000000,11.51880000,0.35128000,0.10555000
7031.22000000,288.40000000,11.18880000,0.34494000,0.10535000
6984.84000000,283.89000000,10.78990000,0.33518000,0.10066000
7011.21000000,281.41000000,10.98990000,0.33530000,0.10170000
7200.01000000,295.71000000,11.48000000,0.34699000,0.10699000
7302.01000000,295.41000000,11.36840000,0.34253000,0.10499000
7263.02000000,289.09000000,11.32940000,0.33493000,0.10352000
7359.06000000,285.30000000,11.42170000,0.33116000,0.10521000
6700.00000000,228.53000000,9.96640000,0.27889000,0.08637000
6516.01000000,229.70000000,10.28880000,0.30179000,0.08840000
6395.54000000,215.22000000,9.94010000,0.28690000,0.08287000
6185.05000000,196.71000000,9.52240000,0.27679000,0.07749000
6250.81000000,195.81000000,9.53990000,0.27660000,0.07601000
6312.00000000,197.15000000,9.50800000,0.27000000,0.07343000
6294.91000000,185.18000000,9.36880000,0.26314000,0.07010000
6338.62000000,183.12000000,9.20810000,0.26990000,0.06627000
6487.38000000,210.68000000,9.59110000,0.27933000,0.06951000
6476.63000000,208.82000000,9.92680000,0.27571000,0.06749000
6514.96000000,221.29000000,10.09990000,0.28031000,0.06895000
6505.00000000,220.17000000,9.93990000,0.28122000,0.06988000
6248.69000000,196.16000000,9.36260000,0.27060000,0.06347000
6336.45000000,208.17000000,9.55990000,0.31897000,0.06900000
6391.89000000,209.79000000,9.63990000,0.32679000,0.07218000
6492.00000000,224.00000000,10.03880000,0.44819000,0.08089000
6759.02000000,247.73000000,10.48000000,0.56405000,0.08773000
6723.05000000,241.01000000,10.29110000,0.57368000,0.08338000
6708.00000000,244.50000000,10.29070000,0.57190000,0.08986000
6581.39000000,228.06000000,10.05880000,0.49358000,0.08241000
6447.54000000,219.62000000,9.87450000,0.52560000,0.08108000
6465.12000000,214.42000000,9.71200000,0.51300000,0.07913000
6689.13000000,229.13000000,10.05990000,0.54305000,0.08629000
6634.58000000,221.84000000,9.99110000,0.54025000,0.08390000
6596.38000000,231.62000000,10.01180000,0.56876000,0.08446000
6626.57000000,232.94000000,10.01720000,0.58257000,0.08511000
6611.61000000,231.61000000,9.98110000,0.57760000,0.08467000
6525.79000000,225.69000000,10.37110000,0.51692000,0.08224000
6510.00000000,220.77000000,10.31360000,0.52930000,0.08088000
6593.79000000,222.66000000,10.29820000,0.52940000,0.08164000
6635.65000000,228.37000000,10.67560000,0.52110000,0.08339000
6594.27000000,225.40000000,10.42890000,0.48964000,0.08151000
6615.26000000,226.14000000,10.58520000,0.48269000,0.08464000
6673.01000000,230.01000000,10.59110000,0.49335000,0.08698000
6656.61000000,228.40000000,10.41130000,0.48199000,0.08659000
6631.00000000,226.74000000,10.36140000,0.46605000,0.08542000
6252.68000000,191.58000000,9.35990000,0.38315000,0.07079000
6298.01000000,196.96000000,9.55510000,0.42071000,0.07320000
6332.93000000,201.30000000,9.68100000,0.42270000,0.07374000
6339.34000000,197.01000000,9.58950000,0.40994000,0.07170000
6752.50000000,214.39000000,10.56550000,0.46168000,0.07671000
6759.27000000,215.09000000,10.27710000,0.48352000,0.07777000
6740.89000000,212.85000000,10.23380000,0.48437000,0.07994000
6618.96000000,206.24000000,9.92200000,0.46750000,0.07668000
6528.88000000,205.00000000,9.90010000,0.46077000,0.07683000
6588.40000000,207.91000000,9.93650000,0.46788000,0.07768000
6590.11000000,207.49000000,9.93110000,0.46458000,0.07721000
6581.20000000,206.67000000,9.89320000,0.46192000,0.07731000
6553.51000000,205.85000000,9.92980000,0.47006000,0.07597000
6565.50000000,205.35000000,9.88370000,0.46402000,0.07539000
6528.09000000,203.93000000,9.80560000,0.46351000,0.07478000
6538.63000000,204.92000000,9.82960000,0.46657000,0.07471000
6505.60000000,204.45000000,9.73310000,0.46012000,0.07352000
6489.93000000,204.99000000,9.72070000,0.46472000,0.07364000
6344.50000000,196.96000000,9.44500000,0.44506000,0.07019000
6330.87000000,197.27000000,9.45210000,0.44749000,0.07007000
6371.93000000,198.73000000,9.48070000,0.45418000,0.07061000
6410.00000000,199.96000000,9.61920000,0.46141000,0.07127000
6433.98000000,202.35000000,9.64210000,0.46300000,0.07311000
6387.09000000,200.31000000,9.58890000,0.45713000,0.07177000
6485.85000000,212.11000000,9.81900000,0.46999000,0.07730000
6468.99000000,210.66000000,9.73330000,0.50220000,0.07685000
6519.11000000,220.74000000,9.88100000,0.55523000,0.08168000
6578.46000000,219.07000000,9.89700000,0.54090000,0.07900000
6479.84000000,212.79000000,9.68600000,0.49694000,0.07684000
6419.99000000,210.77000000,9.61410000,0.50440000,0.07463000
6433.05000000,213.25000000,9.58980000,0.50956000,0.07548000
6449.81000000,212.54000000,9.56110000,0.51019000,0.07700000
6453.07000000,212.89000000,9.48620000,0.52450000,0.07687000
6457.66000000,209.84000000,9.39360000,0.51736000,0.07465000
5922.41000000,187.43000000,8.68110000,0.48460000,0.06657000
5753.40000000,184.35000000,8.37930000,0.48931000,0.06435000
5655.94000000,176.89000000,8.01000000,0.47765000,0.06145000
5628.29000000,176.20000000,7.84940000,0.49813000,0.06123000
5662.00000000,178.97000000,8.08320000,0.51611000,0.06234000
4910.03000000,150.81000000,6.68440000,0.48250000,0.05270000
4558.86000000,133.82000000,5.92000000,0.44285000,0.04587000
4661.07000000,138.23000000,6.28940000,0.45367000,0.04839000
4370.00000000,126.63000000,5.77000000,0.42831000,0.04407000
4420.61000000,125.02000000,5.66110000,0.41447000,0.04380000
3932.44000000,114.89000000,5.19300000,0.37982000,0.03900000
4085.78000000,118.67000000,5.28730000,0.38200000,0.03832000
3862.20000000,110.68000000,5.06310000,0.36354000,0.03652000
3875.21000000,111.43000000,4.98400000,0.36500000,0.03693000
4264.85000000,122.90000000,5.34990000,0.39203000,0.04222000
4295.84000000,117.98000000,5.38050000,0.38149000,0.04194000
4041.32000000,113.73000000,5.11500000,0.36466000,0.03907000
4190.02000000,118.10000000,5.28990000,0.37205000,0.04138000
4161.01000000,116.57000000,5.28880000,0.36963000,0.04187000
3884.01000000,108.76000000,5.12660000,0.34827000,0.03848000
3951.64000000,109.94000000,5.90200000,0.35231000,0.03752000
3769.84000000,102.71000000,6.07270000,0.33950000,0.03442000
3508.75000000,91.00000000,4.90230000,0.30919000,0.03072000
3403.55000000,93.05000000,4.51600000,0.30114000,0.02975000
3410.93000000,90.38000000,4.63610000,0.30247000,0.03020000
3545.37000000,93.26000000,4.76930000,0.30914000,0.03110000
3432.88000000,89.91000000,4.62760000,0.29956000,0.02977000
3380.39000000,87.76000000,4.89730000,0.29904000,0.02931000
3445.00000000,89.41000000,4.98150000,0.30463000,0.03029000
3302.06000000,86.34000000,4.63840000,0.29934000,0.02912000
3224.17000000,83.82000000,4.52110000,0.28816000,0.02832000
3211.72000000,83.76000000,4.55310000,0.28422000,0.02807000
3228.67000000,84.67000000,4.61600000,0.28669000,0.02900000
3509.08000000,94.02000000,5.06500000,0.32721000,0.03241000
3652.98000000,100.39000000,5.53080000,0.34979000,0.03430000
3662.22000000,98.74000000,5.36330000,0.34468000,0.03368000
4049.62000000,114.05000000,5.67660000,0.37228000,0.03871000
